,abs_delta_arousal,abs_delta_arousal,abs_delta_arousal,abs_delta_valence,abs_delta_valence,abs_delta_valence,delta_affect_shift_mag,delta_affect_shift_mag,delta_affect_shift_mag,delta_arousal,delta_arousal,delta_arousal,delta_valence,delta_valence,delta_valence
perturbation,deletion,mask,replacement_lowgap,deletion,mask,replacement_lowgap,deletion,mask,replacement_lowgap,deletion,mask,replacement_lowgap,deletion,mask,replacement_lowgap
original_post_id,,,,,,,,,,,,,,,
109dena,0.2936351661813852,0.30884853245510957,0.2973361822876708,0.016637629092731032,0.05078573854536539,0.05409646167038651,0.2941061398886412,0.3129961776751804,0.3022171941876613,-0.2936351661813852,-0.30884853245510957,-0.2973361822876708,-0.016637629092731032,-0.05078573854536539,0.05409646167038651
109gqns,0.019553627430150655,0.05767658124682562,0.07118502915294567,0.15779755385583982,0.2248538610143589,0.2219110251844949,0.15900444128565658,0.23213325233017845,0.23304894651969413,-0.019553627430150655,-0.05767658124682562,-0.07118502915294567,-0.15779755385583982,-0.2248538610143589,-0.2219110251844949
109hp8d,0.02150241537789288,0.017607806221598743,0.12289695621194507,0.004676007796828863,0.012885359319115164,0.019136887359331833,0.02200497480115459,0.02181896708646125,0.12437798158823972,-0.02150241537789288,-0.017607806221598743,-0.12289695621194507,-0.004676007796828863,-0.012885359319115164,-0.019136887359331833
10a0vte,0.07282550322577652,0.13028570050782395,0.13619952430385052,0.03746735001613999,0.036376182467676266,0.04187801790931278,0.08189845076263368,0.13526858618221776,0.14249238156690305,-0.07282550322577652,-0.13028570050782395,-0.13619952430385052,-0.03746735001613999,-0.036376182467676266,-0.04187801790931278
10a328y,0.04651893041983124,0.0585578516243741,0.09106685959240668,0.0693995700627017,0.11808304780876311,0.001412909375593685,0.08354825678787645,0.1318052660809455,0.09107781963204188,-0.04651893041983124,-0.0585578516243741,-0.09106685959240668,-0.0693995700627017,-0.11808304780876311,0.001412909375593685
10a3p42,0.1695288225994176,0.22713444742153843,0.25557210865847324,0.01710211067329226,0.0359984889506193,0.06930445742154756,0.17038927161481246,0.22996945104125344,0.26480221022988754,-0.1695288225994176,-0.22713444742153843,-0.25557210865847324,-0.01710211067329226,-0.0359984889506193,-0.06930445742154756
10a3wwo,0.03913757363338988,0.028563472960577485,0.043509468762785275,0.03899190972506261,0.0028234487386802343,0.1378062405572793,0.055245983509359727,0.028702680194532287,0.14451170820577314,0.03913757363338988,-0.028563472960577485,0.043509468762785275,0.03899190972506261,0.0028234487386802343,0.1378062405572793
10abfgt,0.07708509374987571,0.1409021686489984,0.053979986231864174,0.05957424252587806,0.18360150269736497,0.1572204757247091,0.09742280046764856,0.2314366715166836,0.16622910966703783,-0.07708509374987571,-0.1409021686489984,-0.053979986231864174,-0.05957424252587806,-0.18360150269736497,-0.1572204757247091
10amzv5,0.14799088890395318,0.07084734763086775,0.35555582047379275,0.19735022219978937,0.07045741081299273,0.17400888330576203,0.2466747117174528,0.09991793334932347,0.395852286771354,-0.14799088890395318,-0.07084734763086775,-0.35555582047379275,-0.19735022219978937,-0.07045741081299273,0.17400888330576203
10avw9j,0.18564908604006014,0.23042311446396813,0.23453529565384645,0.07960613015463602,0.06894972472622607,0.10461103697044516,0.2019968294446883,0.24051793325882648,0.25680785417013435,-0.18564908604006014,-0.23042311446396813,-0.23453529565384645,0.07960613015463602,0.06894972472622607,0.10461103697044516
10ax8wd,0.16224206378168482,0.1483356068029913,0.1391688194759304,0.059303781152223234,0.06948444652212515,0.17177812732562003,0.17274092080075026,0.16380335941029325,0.22107845969659964,-0.16224206378168482,-0.1483356068029913,-0.1391688194759304,-0.059303781152223234,-0.06948444652212515,0.17177812732562003
